행정기관코드,구,행정동,총 인구수,공동주택수,공동주택세대수,우체국수,인구_norm,세대수_norm,우체국_norm,입지점수,cluster,군집명
3014068000,중구,태평1동,12058,0.0,0.0,0.0,0.2208660981282534,0.0,0.0,0.0883464392513013,0,보완 검토군
3011055100,동구,판암1동,11650,0.0,0.0,0.0,0.2118285524421309,0.0,0.0,0.0847314209768523,0,보완 검토군
3017055000,서구,용문동,18906,0.0,0.0,1.0,0.3725551002325839,0.0,0.3333333333333333,0.0823553734263669,3,기타 군집
3014073000,중구,문화2동,11002,0.0,0.0,0.0,0.1974748034112304,0.0,0.0,0.0789899213644921,0,보완 검토군
3017058600,서구,월평1동,10928,0.0,0.0,0.0,0.1958356407132573,0.0,0.0,0.0783342562853029,0,보완 검토군
3017056000,서구,괴정동,17920,0.0,0.0,1.0,0.3507143648244545,0.0,0.3333333333333333,0.0736190792631151,3,기타 군집
3017057000,서구,가장동,10375,0.0,0.0,0.0,0.1835862221729981,0.0,0.0,0.0734344888691992,0,보완 검토군
3017059000,서구,가수원동,9890,0.0,0.0,0.0,0.1728430612470927,0.0,0.0,0.069137224498837,0,보완 검토군
3014055000,중구,목동,17354,0.0,0.0,1.0,0.3381769852696866,0.0,0.3333333333333333,0.0686041274412079,3,기타 군집
3011055200,동구,판암2동,7647,0.0,0.0,0.0,0.1231587108206888,0.0,0.0,0.0492634843282755,0,보완 검토군
3023052000,대덕구,대화동,5210,12.0,1679.0,1.0,0.0691770960239229,0.2054576603034753,0.3333333333333333,0.0431872358642926,3,기타 군집
3014063000,중구,대사동,5110,0.0,0.0,0.0,0.0669620112969321,0.0,0.0,0.0267848045187728,0,보완 검토군
3017054000,서구,변동,12229,1.0,46.0,1.0,0.2246538930114076,0.0056289769946157,0.3333333333333333,0.0254464813357427,3,기타 군집
3014057500,중구,대흥동,12124,0.0,0.0,1.0,0.2223280540480673,0.0,0.3333333333333333,0.0222645549525602,3,기타 군집
3017065000,서구,만년동,11839,0.0,0.0,1.0,0.2160150625761435,0.0,0.3333333333333333,0.0197393583637907,3,기타 군집
3011051500,동구,중앙동,3319,0.0,0.0,0.0,0.0272898438365267,0.0,0.0,0.0109159375346107,0,보완 검토군
3014067000,중구,오류동,9761,0.0,0.0,1.0,0.1699856019492745,0.0,0.3333333333333333,0.0013275741130431,3,기타 군집
3014065500,중구,용두동,9751,0.0,0.0,1.0,0.1697640934765754,0.0,0.3333333333333333,0.0012389707239635,3,기타 군집
3011072500,동구,대청동,2087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,보완 검토군
3023051000,대덕구,오정동,13154,8.0,1819.0,3.0,0.2451434267360726,0.2225893294175232,1.0,-0.0129068975385616,3,기타 군집
3017053500,서구,정림동,14575,1.0,97.0,2.0,0.2766197807066121,0.0118697993147332,0.6666666666666666,-0.0179375013247952,3,기타 군집
3014064000,중구,부사동,5859,0.0,0.0,1.0,0.0835529959020932,0.0,0.3333333333333333,-0.0332454683058293,3,기타 군집
3014060500,중구,문창동,4107,0.0,0.0,1.0,0.0447447114852143,0.0,0.3333333333333333,-0.0487687820725809,3,기타 군집
