공동주택명,주소,세대수,구
보라(2단지),대전광역시 서구 둔산로 241,630,서구
청솔,대전광역시 서구 둔산로 223,980,서구
한신,대전광역시 서구 계룡로536번길 9,542,서구
가람,대전광역시 서구 둔산북로 215,1260,서구
한가람,대전광역시 서구 문예로 16,1380,서구
국화동성,대전광역시 서구 둔산로 201,672,서구
양지,대전광역시 서구 배재로91번길 38-22,432,서구
공작,대전광역시 서구 문정로 131,1074,서구
국화신동아,대전광역시 서구 둔산로 201,666,서구
국화우성,대전광역시 서구 둔산로 201,562,서구
국화라이프,대전광역시 서구 둔산로 201,560,서구
국화한신,대전광역시 서구 둔산로 201,450,서구
삼정하이츠,대전광역시 서구 도마로 60,72,서구
백목련,대전광역시 서구 정림서로138번길 21,499,서구
용문동서우,대전광역시 서구 도산로370번길 55,295,서구
삼정하이츠,대전광역시 서구 정림서로 114,480,서구
대아,대전광역시 서구 배재로 185,462,서구
크로바,대전광역시 서구 둔산로 155,1632,서구
한마루럭키,대전광역시 서구 둔산북로 160,700,서구
한마루삼성,대전광역시 서구 둔산북로 160,700,서구
월평주공2단지,대전광역시 서구 월평북로 11,1130,서구
목련,대전광역시 서구 둔산남로 127,1166,서구
수정타운,대전광역시 서구 청사로 282,2010,서구
햇님,대전광역시 서구 둔산북로 175,660,서구
월평주공1단지,대전광역시 서구 월평북로 11,1491,서구
월평주공3단지,대전광역시 서구 월평북로 11,1403,서구
하나로,대전광역시 서구 청사로 5,1350,서구
우성,대전광역시 서구 정림로 55,1980,서구
백합,대전광역시 서구 청사서로 41,622,서구
목화(1차),대전광역시 서구 복수서로 50,948,서구
샛별,대전광역시 서구 청사서로 29,450,서구
다모아,대전광역시 서구 월평동로 83,1260,서구
황실타운,대전광역시 서구 청사로 65,1950,서구
월평타운,대전광역시 서구 계룡로264번길 4,469,서구
은초롱,대전광역시 서구 청사로 269,120,서구
꿈나무,대전광역시 서구 청사로 253,540,서구
둥지,대전광역시 서구 청사로 254,1230,서구
전원,대전광역시 서구 월평중로 50,360,서구
롯데,대전광역시 서구 신갈마로 46,1632,서구
갈마,대전광역시 서구 신갈마로 102,1980,서구
무지개,대전광역시 서구 청사서로 11,600,서구
누리,대전광역시 서구 청사로 70,1704,서구
한아름,대전광역시 서구 청사서로 65,780,서구
개나리,대전광역시 서구 문정로10번길 39,366,서구
한우리,대전광역시 서구 문정로90번길 60,598,서구
무궁화,대전광역시 서구 청사서로 70,630,서구
녹원,대전광역시 서구 둔산남로 30,1200,서구
은하수,대전광역시 서구 둔산남로 15,816,서구
향촌,대전광역시 서구 둔산로 15,1650,서구
상아,대전광역시 서구 대덕대로 415,720,서구
진달래,대전광역시 서구 월평동로 45,1080,서구
초원,대전광역시 서구 만년로 45,1230,서구
상록수,대전광역시 서구 만년남로 8,1161,서구
파랑새,대전광역시 서구 둔지로 75,406,서구
큰마을,대전광역시 서구 대덕대로 150,2910,서구
늘푸른,대전광역시 서구 정림로 11,720,서구
산호,대전광역시 서구 계룡로571번길 65,654,서구
강변,대전광역시 서구 만년로 25,788,서구
강변들보람,대전광역시 서구 정림서로 162-18,510,서구
강변들백조,대전광역시 서구 정림서로 206,202,서구
다솜,대전광역시 서구 도솔로519번길 42,40,서구
원앙마을1단지,대전광역시 서구 관저북로 87,660,서구
원앙마을2단지,대전광역시 서구 관저북로 80,1734,서구
원앙마을4-1단지,대전광역시 서구 관저북로 14,1023,서구
원앙마을4-2단지,대전광역시 서구 관저북로 14,863,서구
청솔연립,대전광역시 서구 계룡로342번길 169,24,서구
효성타운,대전광역시 서구 도산로 11,746,서구
목화(2차),대전광역시 서구 복수북로 42,478,서구
푸른,대전광역시 서구 갈마로117번길 23,307,서구
샘머리1단지,대전광역시 서구 문예로 174,1350,서구
샘머리2단지,대전광역시 서구 청사로 281,2200,서구
대자연마을,대전광역시 서구 관저북로 52,1251,서구
구봉마을7단지,대전광역시 서구 관저로 48,1188,서구
구봉마을8-1단지,대전광역시 서구 관저로 84,1563,서구
구봉마을8-2단지,대전광역시 서구 관저로 84,624,서구
정든,대전광역시 서구 정림로66번길 30,138,서구
신선마을,대전광역시 서구 관저로 83,940,서구
구봉마을9단지,대전광역시 서구 관저서로 20,1030,서구
구봉마을5단지,대전광역시 서구 관저로 51,1000,서구
한마음,대전광역시 서구 괴정로 203,454,서구
남산탑스빌,대전광역시 서구 도산로253번길 75,251,서구
인터빌,대전광역시 서구 신갈마로 58-17,126,서구
나이스타운,대전광역시 서구 대덕대로168번길 44,90,서구
오벨리스크,대전광역시 서구 대덕대로168번길 18,77,서구
KT 빌리지,대전광역시 서구 갈마로 160,100,서구
베누스타운,대전광역시 서구 대덕대로168번길 90,80,서구
이노빌,대전광역시 서구 대덕대로175번길 46,144,서구
하이스트빌,대전광역시 서구 갈마역로 14,136,서구
래미안,대전광역시 서구 가장로 106,2398,서구
천  일월드빌,대전광역시 서구 유등로 343,210,서구
나이스빌,대전광역시 서구 대덕대로167번길 47,50,서구
느리울13단지,대전광역시 서구 관저동로 42,880,서구
느리울12단지,대전광역시 서구 관저로 184,750,서구
포스빌,대전광역시 서구 대덕대로167번길 53,63,서구
비너스빌,대전광역시 서구 대덕대로167번길 23,78,서구
스카이빌리지,대전광역시 서구 갈마역로 16,129,서구
힐스타운,대전광역시 서구 대덕대로175번길 40,81,서구
갤러리빌,대전광역시 서구 둔지로 46,71,서구
나이스진,대전광역시 서구 대덕대로175번길 50,94,서구
탑스빌,대전광역시 서구 문정로2번길 113,136,서구
스위트빌1,대전광역시 서구 갈마역로 22,155,서구
갤러리타운,대전광역시 서구 둔지로 19,59,서구
위너스빌1,대전광역시 서구 대덕대로168번길 50,39,서구
타임빌,대전광역시 서구 둔지로 40,63,서구
변동 동건,대전광역시 서구 도마로57번길 38,153,서구
시티빌2,대전광역시 서구 문정로2번길 25,86,서구
주안에쉐르,대전광역시 서구 계룡로509번길 6,100,서구
위너스빌2,대전광역시 서구 대덕대로168번길 22,42,서구
시티빌,대전광역시 서구 계룡로509번길 7,155,서구
스위트빌2,대전광역시 서구 문정로2번길 33,280,서구
시티빌5,대전광역시 서구 문정로2번길 123,80,서구
맑은아침,대전광역시 서구 갈마로 262,2199,서구
느리울11단지,대전광역시 서구 관저동로90번길 47,940,서구
메르하우젠,대전광역시 서구 대덕대로175번길 60,258,서구
네스트빌,대전광역시 서구 탄방로 12,38,서구
메이저타운,대전광역시 서구 문정로40번길 64,70,서구
초록마을3단지(천일),대전광역시 서구 복수동로 39-26,240,서구
둔산갤러리빌(4차),대전광역시 서구 계룡로491번길 8,180,서구
시티빌4,대전광역시 서구 문정로2번길 109,56,서구
리체스,대전광역시 서구 갈마역로 10,36,서구
리쥬파크,대전광역시 서구 대덕대로167번길 29,43,서구
초록마을2단지(현진),대전광역시 서구 복수동로 21-20,708,서구
위즈,대전광역시 서구 계룡로583번길 55,94,서구
미소마을,대전광역시 서구 신갈마로 66-17,128,서구
초록마을5단지(중훙),대전광역시 서구 유등로17번길 109,761,서구
갤러리빌-럭스,대전광역시 서구 한밭대로 701,82,서구
시티빌3,대전광역시 서구 문정로2번길 51,290,서구
관저리슈빌,대전광역시 서구 관저동로90번길 15,748,서구
초록마을1단지(금성),대전광역시 서구 복수동로 21-19,463,서구
써머스빌,대전광역시 서구 계백로 1426,78,서구
초록마을3단지(계룡),대전광역시 서구 복수동로51번길 43,346,서구
드림빌,대전광역시 서구 대덕대로168번길 70,26,서구
아트리움,대전광역시 서구 대덕대로167번길 15,60,서구
더리치빌,대전광역시 서구 동서대로1021번길 54,61,서구
아이누리,대전광역시 서구 계룡로686번길 17,239,서구
미드림,대전광역시 서구 탄방로 10,48,서구
웰리움,대전광역시 서구 대덕대로168번길 82,60,서구
오량마을마루미,대전광역시 서구 복수중로 30,574,서구
젠트리움,대전광역시 서구 계룡로583번길 49,50,서구
리가,대전광역시 서구 계룡로583번길 12,101,서구
모닝빌,대전광역시 서구 도마로 59,140,서구
아이누리주상복합,대전광역시 서구 용문로 41-52,171,서구
동기포에버,대전광역시 서구 도마로57번길 42,246,서구
신영미소랑,대전광역시 서구 용문로 61,110,서구
수목토,대전광역시 서구 도안동로 177,1253,서구
갤러리빌7차,대전광역시 서구 둔지로 52,80,서구
갤러리빌(4차),대전광역시 서구 도솔로411번길 40,78,서구
포도힐,대전광역시 서구 도마로63번길 11,99,서구
둔산플러스,대전광역시 서구 대덕대로185번길 60,40,서구
플로채,대전광역시 서구 둔지로 38,99,서구
한라비발디(구 파렌하이트),대전광역시 서구 도안북로 136,885,서구
좋은하루1차,대전광역시 서구 대덕대로167번길 43,118,서구
대미임대,대전광역시 서구 정림동로30번길 45,97,서구
원스탑,대전광역시 서구 문정로90번길 67,52,서구
레자미(2),대전광역시 서구 둔지로 54,120,서구
아이스테이하우스,대전광역시 서구 계룡로636번길 22,78,서구
포도힐2,대전광역시 서구 도산로167번길 9,35,서구
대미임대2차,대전광역시 서구 계백로1300번길 72,49,서구
나이스타운,대전광역시 서구 계룡로636번길 32,73,서구
럭시드,대전광역시 서구 문정로90번길 51,108,서구
금성백조예미지,대전광역시 서구 도안북로 125,645,서구
정림동 도시형생활주택,대전광역시 서구 정림로24번길 51,56,서구
좋은하루2차,대전광역시 서구 대덕대로167번길 37,153,서구
월평 다우,대전광역시 서구 한밭대로570번길 29-4,138,서구
변동 금한,대전광역시 서구 도마로57번길 16,125,서구
갤러리빌9차,대전광역시 서구 한밭대로570번길 33,153,서구
포도힐3,대전광역시 서구 도마로63번길 38,99,서구
아이파크,대전광역시 서구 도안동로 183,1053,서구
호반베르디움,대전광역시 서구 원도안로 100,957,서구
오딧세이(나이스타운),대전광역시 서구 갈마로245번길 3,36,서구
